Ticker,Date,Open,High,Low,Close,Volume
SPY,2015-01-02,172.834,173.274,171.016,172.069,144993270
SPY,2015-01-05,171.006,171.148,168.662,168.957,202423620
SPY,2015-01-06,169.254,169.791,166.556,167.378,249677041
SPY,2015-01-07,168.718,169.791,168.249,169.435,149593226
SPY,2015-01-08,170.862,172.652,170.842,172.469,175671912
SPY,2015-01-09,172.853,172.873,170.463,171.063,189297470
SPY,2015-01-12,171.178,171.34,169.101,169.723,172362325
SPY,2015-01-13,170.968,172.115,167.952,169.244,256119496
SPY,2015-01-14,167.225,168.439,166.316,168.24,230086639
SPY,2015-01-15,168.881,169.178,166.576,166.697,210123239
SPY,2015-01-16,166.467,169.015,166.307,168.881,252905316
SPY,2015-01-20,169.503,169.791,167.647,169.225,156373917
SPY,2015-01-21,168.775,170.593,168.307,170.125,146755433
SPY,2015-01-22,170.842,172.729,169.454,172.604,207946945
SPY,2015-01-23,172.404,172.604,171.541,171.686,140269816
SPY,2015-01-26,171.446,172.192,170.748,172.088,109586325
SPY,2015-01-27,170.019,170.968,168.977,169.809,159920277
SPY,2015-01-28,171.006,171.092,167.435,167.619,730952201
SPY,2015-01-29,167.838,169.435,166.401,169.158,207079710
SPY,2015-01-30,168.0,169.323,166.774,167.044,236036703
SPY,2015-02-02,167.628,169.197,165.752,169.101,194432732
SPY,2015-02-03,170.048,171.579,169.636,171.571,148138465
SPY,2015-02-04,170.729,172.019,170.463,170.909,160259638
SPY,2015-02-05,171.588,172.765,171.503,172.623,116818307
SPY,2015-02-06,172.988,173.57,171.647,172.182,150002311
SPY,2015-02-09,171.503,172.268,170.986,171.369,104077060
SPY,2015-02-10,172.46,173.475,171.417,173.207,114768433
SPY,2015-02-11,173.034,173.773,172.421,173.322,108652115
SPY,2015-02-12,174.165,175.025,173.36,174.959,116321452
SPY,2015-02-13,175.103,175.774,174.805,175.716,111796316
SPY,2015-02-17,175.39,176.182,175.131,176.003,91879063
SPY,2015-02-18,175.618,176.098,175.331,176.022,96032667
SPY,2015-02-19,175.4,176.26,175.236,175.877,109168553
SPY,2015-02-20,175.467,176.999,174.776,176.909,168189354
SPY,2015-02-23,176.682,176.89,176.309,176.89,88820499
SPY,2015-02-24,176.816,177.601,176.529,177.389,86397138
SPY,2015-02-25,177.266,177.763,176.9,177.246,87209413
SPY,2015-02-26,177.149,177.306,176.432,177.046,86714408
SPY,2015-02-27,176.929,177.207,176.394,176.441,129010775
SPY,2015-03-02,176.549,177.61,176.499,177.543,104458506
