date,open,high,low,close,volume
2017-10-02,0.0010754299582913,0.0011326499516144,0.0010550100123509,0.0010853599524125,3145110.0
2017-10-03,0.0010845500510185,0.001115130027756,0.0010038500186055,0.0011083900462836,2044110.0
2017-10-04,0.0011209199437871,0.0011209199437871,0.0009380599949508,0.001024379977025,2119210.0
2017-10-05,0.0010159800294786,0.0010752199450507,0.000978932948783,0.001001329976134,2656730.0
2017-10-06,0.0010029099648818,0.001084930030629,0.0009952059481292,0.0010560300434008,1505160.0
2017-10-07,0.0010789900552481,0.0011285099899396,0.0010213699424639,0.0010660999687388,1488520.0
2017-10-08,0.0010718499543145,0.0011358100455254,0.0010288699995726,0.001055910019204,2242630.0
2017-10-09,0.0010559300426393,0.0010659500258043,0.0009626270039007,0.0009907169733196,3065770.0
2017-10-10,0.0009804189903661,0.0010474399896338,0.0009523699991405,0.0010356799466535,1909730.0
2017-10-11,0.0010353899560868,0.0010799899464473,0.0009955839486792,0.0010461299680173,2390280.0
2017-10-12,0.0010569900041446,0.0010964899556711,0.001031200052239,0.0010620099492371,3146680.0
2017-10-13,0.0010643600253388,0.0010849400423467,0.0009764619753696,0.0010657999664545,6885520.0
2017-10-14,0.0010469299741089,0.0011150300269946,0.001026349957101,0.0011097700335085,2216010.0
2017-10-15,0.0010965400142595,0.0011652100365608,0.0010453700087964,0.0011062399717047,2164040.0
2017-10-16,0.001106770010665,0.00125377997756,0.0010558699723333,0.0011641000164672,6552920.0
2017-10-17,0.0011608100030571,0.0011899799574166,0.0010633299825713,0.0010673500364646,7260740.0
2017-10-18,0.0010656899539753,0.0010789099615067,0.000974586000666,0.0010474199661985,2446530.0
2017-10-19,0.0010562499519437,0.0010952500160783,0.001044990029186,0.0010635199723765,2189610.0
2017-10-20,0.0010712300427258,0.0010975600453093,0.0010346800554543,0.001050189952366,3244930.0
2017-10-21,0.0010475500021129,0.001068320008926,0.0009587769745849,0.0010067799594253,3157240.0
2017-10-22,0.0010082400403916,0.0010767900384962,0.0009757690131664,0.0010228599421679,2583310.0
2017-10-23,0.0010224500438198,0.0010533400345593,0.0009594589937478,0.0010155600029975,3524540.0
2017-10-24,0.001013149973005,0.0011391099542379,0.0009651589789427,0.0010922900401055,5253740.0
2017-10-25,0.0010999999940395,0.0010999999940395,0.0010089100105687,0.0010557100176811,2198320.0
2017-10-26,0.0010550799779593,0.0010897900210693,0.0010170199675485,0.0010513899615034,1559670.0
2017-10-27,0.0010519300121814,0.0010871900012716,0.0010237699607387,0.0010522600496187,1414540.0
2017-10-28,0.00104043004103,0.0011598699493333,0.0009923089528456,0.0010371799580752,1072410.0
2017-10-29,0.0010373799595981,0.0012369100004434,0.0009927779901772,0.0011731700506061,19651600.0
2017-10-30,0.0012243100209161,0.0012278299545869,0.0011028900044038,0.0011507399613037,2979150.0
2017-10-31,0.0011432899627834,0.0011964800069108,0.0011062299599871,0.0011242399923503,3075460.0
2017-11-01,0.0011427899589762,0.00117483001668,0.0010896499734371,0.0011376700131222,2821950.0
2017-11-02,0.0011085999431088,0.0011847600108012,0.0010498199844732,0.0011513800127431,5326660.0
2017-11-03,0.0011569299967959,0.0012147199595347,0.0011074399808421,0.0011208599898964,2813240.0
2017-11-04,0.0011427199933677,0.0012424699962139,0.0010977999772876,0.0011887300061061,1986450.0
2017-11-05,0.0011680399766191,0.0012361699482426,0.0011422999668866,0.0011823800159618,1668270.0
2017-11-06,0.0011713600251823,0.0012425299501046,0.0011448200093582,0.0011536000529304,1997300.0
2017-11-07,0.0011565600289031,0.0012143800267949,0.0011502100387588,0.0011773699661716,2251920.0
2017-11-08,0.0011750699486583,0.00125982996542,0.0011480000102892,0.0012217899784445,3528340.0
2017-11-09,0.0012065400369465,0.0014150299830362,0.0011808100389316,0.0014150299830362,6259550.0
2017-11-10,0.0014211899833753,0.0014305199729278,0.0011246399953961,0.0011626400519162,4246520.0
2017-11-11,0.0011455500498414,0.0012574599822983,0.0011406999547034,0.0012010600185021,2231080.0
2017-11-12,0.0011885600397363,0.001209820038639,0.0010015800362452,0.0010380099993199,3288960.0
2017-11-13,0.0010463900398463,0.0012116100406274,0.001019429997541,0.0012111200485378,2481270.0
2017-11-14,0.0012007500045001,0.0012390499468892,0.0011310699628666,0.0011843000538647,2660340.0
2017-11-15,0.0011891400208696,0.0013513000449165,0.0011786400573328,0.0013387299841269,2840180.0
