date,open,high,low,close,volume
2017-10-02,54.54690170288086,54.7848014831543,53.257999420166016,53.3759994506836,95474600.0
2017-10-03,53.39039993286133,53.59299850463867,51.58660125732422,52.34960174560547,88516096.0
2017-10-04,52.2843017578125,53.04610061645508,50.83039855957031,51.39950180053711,77473400.0
2017-10-05,51.40140151977539,51.865501403808594,50.44049835205078,51.66949844360352,69594400.0
2017-10-06,51.63600158691406,52.60309982299805,51.53049850463867,52.12009811401367,59355900.0
2017-10-07,52.13750076293945,52.74980163574219,51.63619995117188,52.58399963378906,51786200.0
2017-10-08,52.493499755859375,54.50510025024414,52.25699996948242,53.1426010131836,100841000.0
2017-10-09,53.08250045776367,53.38819885253906,48.47249984741211,50.16400146484375,152366000.0
2017-10-10,50.15420150756836,51.67129898071289,49.8572998046875,50.717098236083984,90415504.0
2017-10-11,50.753299713134766,51.13639831542969,50.31650161743164,50.88750076293945,57390100.0
2017-10-12,50.88669967651367,60.10760116577149,50.87149810791016,60.10760116577149,341368992.0
2017-10-13,60.55189895629883,60.961700439453125,55.84090042114258,59.42890167236328,357124000.0
2017-10-14,59.40560150146485,66.19300079345703,58.60089874267578,63.95019912719727,313105984.0
2017-10-15,64.12660217285156,70.09380340576172,62.54940032958984,65.46739959716797,453940000.0
2017-10-16,65.71829986572266,66.33580017089844,62.69129943847656,64.62190246582031,200428000.0
2017-10-17,64.67320251464844,64.69550323486328,58.85390090942383,59.479000091552734,205363008.0
2017-10-18,59.58689880371094,61.74760055541992,53.793701171875,60.73080062866211,283868992.0
2017-10-19,60.8218002319336,61.29219818115234,58.70849990844727,59.73970031738281,160943008.0
2017-10-20,59.80979919433594,61.88420104980469,58.56340026855469,60.33060073852539,150542000.0
2017-10-21,60.30379867553711,60.52099990844727,56.83409881591797,58.20180130004883,139503008.0
2017-10-22,58.27190017700195,58.65069961547852,56.43790054321289,56.807899475097656,96781400.0
2017-10-23,56.77069854736328,56.77069854736328,52.87239837646485,54.92020034790039,177315008.0
2017-10-24,54.95949935913086,59.10129928588867,53.29449844360352,55.96319961547852,199788992.0
2017-10-25,55.951698303222656,56.5801010131836,54.09400177001953,56.49430084228516,114510000.0
2017-10-26,56.46860122680664,57.14540100097656,55.277099609375,55.73799896240234,81104704.0
2017-10-27,55.673099517822266,56.25400161743164,55.15430068969727,55.332401275634766,78923104.0
2017-10-28,55.3843002319336,56.13180160522461,54.57320022583008,54.69390106201172,71063200.0
2017-10-29,54.6697998046875,57.75199890136719,54.493499755859375,57.10639953613281,138340000.0
2017-10-30,56.8401985168457,58.549598693847656,56.235801696777344,56.39049911499024,129287000.0
2017-10-31,56.3650016784668,56.78710174560547,55.71760177612305,55.75410079956055,99381104.0
2017-11-01,55.740699768066406,55.740699768066406,53.18080139160156,53.18080139160156,112759000.0
2017-11-02,53.559200286865234,55.27750015258789,50.85049819946289,54.737300872802734,221076992.0
2017-11-03,54.57820129394531,56.29209899902344,54.28390121459961,56.181400299072266,150030000.0
2017-11-04,56.21590042114258,56.36880111694336,54.9364013671875,55.037200927734375,83633104.0
2017-11-05,55.02569961547852,55.47679901123047,54.62810134887695,54.74639892578125,84302000.0
2017-11-06,54.75920104980469,56.173099517822266,53.94570159912109,55.17369842529297,133918000.0
2017-11-07,54.987701416015625,63.81050109863281,54.98529815673828,61.29520034790039,402670016.0
2017-11-08,61.11299896240234,64.06500244140625,60.790000915527344,62.57310104370117,349454016.0
2017-11-09,62.48960113525391,66.83830261230469,61.72579956054688,64.26969909667969,279652992.0
2017-11-10,64.43620300292969,65.89640045166016,56.91320037841797,59.260101318359375,291596000.0
2017-11-11,59.348899841308594,63.71160125732422,59.2421989440918,62.30329895019531,272494016.0
2017-11-12,62.309200286865234,62.309200286865234,57.41339874267578,59.005401611328125,322820000.0
2017-11-13,59.17580032348633,62.76440048217773,58.84870147705078,61.39649963378906,237478000.0
2017-11-14,61.64289855957031,63.81240081787109,60.8661003112793,62.67959976196289,174111008.0
2017-11-15,62.77519989013672,65.52469635009766,62.70880126953125,63.82360076904297,194636000.0
